xm,bj,xb,yw,sx,wy,zz,ls,dl,wl,hx,sw,wlfk,zcj
甄达熙,1106,男,91,94,86,94,100,98,84,96,88,文科,831
沈竞,1106,女,94,96,97,96,93,94,71,100,88,文科,829
边阳小小,1106,女,87,92,93,97,94,96,81,96,91,文科,827
邢林建,1106,男,92,96,73,98,100,100,88,94,86,文科,827
林恩民,1106,男,91,94,92,92,93,100,81,94,86,文科,823
暴陆堙,1106,女,91,97,83,96,100,100,83,88,85,文科,823
彭友君,1106,女,93,93,91,97,91,94,86,94,84,文科,823
昌伦勇,1106,男,90,94,79,96,97,98,85,92,91,文科,822
别星林,1106,女,92,94,96,99,96,96,86,80,82,文科,821
田小燕,1106,女,88,93,89,95,98,94,82,88,90,文科,817
邱燕,1106,女,90,95,93,95,94,98,72,92,88,文科,817
车艳香,1106,女,94,91,92,97,96,94,82,90,80,文科,816
时兵,1106,男,88,97,90,94,97,98,70,94,87,文科,815
劳继兰,1106,女,87,96,93,95,94,98,79,94,78,文科,814
干思薇,1106,女,91,95,87,89,94,94,70,98,94,文科,812
尚夏艳,1106,女,91,93,81,97,96,98,74,94,88,文科,812
萧艳玲,1106,女,89,98,97,94,94,96,65,96,83,文科,812
家流燕,1106,女,94,90,79,94,89,94,86,98,87,文科,811
卞含芳,1106,女,89,93,94,96,96,98,74,86,84,文科,810
杨玉妹,1106,女,90,93,92,93,98,96,65,92,85,文科,804
许小玲,1106,女,88,94,83,96,96,96,73,86,91,文科,803
姜雪,1106,女,90,93,93,97,96,94,65,86,88,文科,802
仲寅连,1106,女,92,93,90,94,91,96,74,92,77,文科,799
桂元珍,1106,女,90,93,87,93,92,92,78,92,81,文科,798
家曲,1106,女,93,90,87,93,94,98,61,94,82,文科,792
凌航,1106,男,89,91,94,96,91,94,60,80,92,文科,787
闵琼,1106,女,92,90,96,93,85,96,73,80,82,文科,787
栾静,1106,女,92,85,95,98,88,84,80,78,78,文科,778
郑真真,1106,女,91,84,91,93,88,92,61,90,83,文科,773
成美英,1106,女,87,90,90,94,92,92,52,90,78,文科,765
邬杨,1106,女,93,84,89,93,81,86,56,76,70,文科,728
窦香娥,1106,女,87,78,97,93,83,90,58,66,58,文科,710
嵇婉玉,1107,女,94,100,96,98,100,98,88,100,97,文科,871
洪甜甜,1107,女,95,95,95,95,100,98,89,98,96,文科,861
边慧敏,1107,女,92,95,94,94,100,100,88,98,97,文科,858
山阳,1107,男,88,96,92,97,96,100,97,98,93,文科,857
屠明聪,1107,男,89,96,96,94,100,100,85,98,95,文科,853
卫红师,1107,男,89,96,95,95,100,98,80,98,93,文科,844
於泽红,1107,男,87,90,90,96,99,100,90,96,95,文科,843
封艳芳,1107,女,94,99,96,97,92,92,86,96,91,文科,843
龚斌,1107,男,87,94,94,93,91,94,95,98,95,文科,841
管国强,1107,男,94,96,92,92,98,96,91,94,88,文科,841
马红英,1107,女,90,91,92,97,97,98,91,96,88,文科,840
包军,1107,男,85,92,86,95,98,100,95,96,92,文科,839
伍乙凤,1107,女,87,94,91,94,94,96,94,98,91,文科,839
璩亚兰,1107,女,94,97,95,97,97,100,79,94,86,文科,839
伍晓红,1107,女,92,92,89,96,93,94,93,94,94,文科,837
臧婷,1107,女,91,94,94,98,94,96,83,94,93,文科,837
屈燕玲,1107,女,89,95,97,97,98,96,77,98,90,文科,837
米于进,1107,男,89,94,92,95,98,96,87,94,91,文科,836
山思婷,1107,女,93,91,92,93,99,94,90,94,90,文科,836
闻昆燕,1107,女,93,89,96,89,99,96,88,94,91,文科,835
农琼,1107,女,93,91,98,95,97,98,85,92,86,文科,835
宣碧莲,1107,女,91,90,94,98,98,96,82,94,91,文科,834
樊治宇,1107,男,89,92,91,95,95,98,92,92,90,文科,834
暴宗雨,1107,男,92,93,94,93,96,92,94,88,91,文科,833
鲁月,1107,女,91,92,95,94,96,98,80,96,90,文科,832
华俊佳,1107,男,92,82,88,97,97,100,90,98,88,文科,832
史达茜,1107,女,90,95,95,95,92,98,88,90,88,文科,831
封小青,1107,女,89,93,94,94,96,96,84,98,87,文科,831
尤未花,1107,女,90,89,92,95,94,94,91,98,86,文科,829
雍秋萍,1107,女,89,85,85,96,97,98,90,92,96,文科,828
栾灿,1107,女,92,89,92,98,95,92,79,94,96,文科,827
陶艳梦,1107,女,96,91,88,94,97,96,85,84,94,文科,825
堵逃英,1107,女,91,89,92,97,99,96,82,94,83,文科,823
萧丽婷,1107,女,88,97,97,93,95,100,71,94,83,文科,818
扶永连,1107,女,89,87,94,95,98,98,72,92,89,文科,814
马致始,1107,男,91,88,89,97,95,96,82,84,89,文科,811
王蓉蓉,1107,女,95,97,95,98,96,94,62,94,79,文科,810
冀婷婷,1107,女,95,85,95,96,98,100,75,94,72,文科,810
邓方平,1107,男,91,87,89,94,99,100,71,86,89,文科,806
彭秀姣,1107,女,89,81,92,95,95,98,82,96,78,文科,806
阮德强,1107,男,92,95,95,93,92,88,85,92,74,文科,806
双进,1107,女,89,94,88,92,95,90,81,82,93,文科,804
武双荣,1107,女,90,87,95,99,99,95,61,92,86,文科,804
晏鑫,1107,女,91,93,95,94,92,92,81,86,79,文科,803
翁祥忠,1107,男,89,96,82,93,97,96,74,100,73,文科,800
全静,1107,女,87,76,94,93,97,100,72,96,84,文科,799
姬长城,1107,男,86,90,80,97,100,94,79,92,81,文科,799
方秋嫦,1107,女,88,89,89,90,95,94,72,92,81,文科,790
顾俊杰,1107,男,91,91,86,96,95,98,62,88,81,文科,788
卫兰,1107,女,87,89,91,97,89,96,67,94,78,文科,788
詹付恒,1107,男,86,91,90,93,92,96,68,90,81,文科,787
戎小伶,1107,女,90,86,87,97,89,93,73,82,88,文科,785
陈锡生,1107,男,91,89,75,95,100,100,59,86,85,文科,780
包睿,1107,男,89,90,82,88,93,98,66,78,81,文科,765
干桃桃,1107,女,86,85,90,95,86,88,66,78,76,文科,750
焦金音,1108,女,91,98,95,99,99,100,100,100,97,理科,879
伊礼贤,1108,男,92,97,99,95,94,100,100,100,99,理科,876
和伍姣,1108,女,96,98,94,97,94,98,98,98,97,理科,870
汪文昊,1108,男,93,97,93,97,94,98,100,98,99,理科,869
郁巧月,1108,女,93,99,92,95,100,97,95,100,97,理科,868
霍学超,1108,男,94,96,97,97,95,96,95,100,96,理科,866
段正标,1108,男,93,93,95,96,100,98,94,100,96,理科,865
杭雪文,1108,女,92,97,96,94,98,98,97,98,95,理科,865
娄结鹏,1108,男,88,97,96,91,95,96,100,100,99,理科,862
浦自慧,1108,女,89,97,97,96,95,100,94,96,97,理科,861
